event_id,toa_mjd_bary
B01,59867.550261974262
B02,59868.720719017751
B03,59868.806998337132
B04,59868.952064501995
B05,59868.952069543382
B06,59868.985214940578
B07,59869.055035904210
B08,59869.586923813062
B09,59869.593512958985
B10,59869.677819175668
B11,59869.682039968277
B12,59869.856667939173
B13,59869.950657778565
B14,59869.995415334852
B15,59870.066243038164
B16,59870.073322958699
B17,59870.368980674255
B18,59870.378201357344
B19,59870.778455653417
B20,59870.919870846395
B21,59870.951886954281
B22,59872.003773929799
B23,59872.035956460582
B24,59872.075659370857
B25,59872.269479102724
B26,59872.472313324775
B27,59872.472458684024
B28,59872.705075417180
B29,59873.537743648994
B30,59873.828132835020
B31,59874.098112808977
B32,59874.219883529971
B33,59874.967542283848
B34,59876.665525323180
B35,59877.560927067694
B36,59877.599217170704
B37,59877.866624461341
B38,59878.385774637092
B40,59880.399902915000
B41,59880.407276017555
B42,59880.445422474942
B43,59880.571212265830
B44,59880.677142782326
B45,59881.856105331732
B46,59882.044458132848
B47,59882.653173669431
B48,59883.467531739727
B49,59883.723080597003
B51,59884.801986659120
B50,59884.838169073264
B52,59884.838175180732
B53,59886.665176619972
B54,59888.137377119303
B55,59888.945270430326
B56,59889.553840790664
B57,59889.707341856440
B58,59889.824484616998
B59,59890.299190309823
B60,59890.321675125029
B61,59890.399423575407
B62,59890.442334997126
B63,59891.810590405628
B64,59891.889832949339
B65,59892.201939032893
B66,59892.975803970323
B68,59893.653699740607
B69,59893.856390035551
B70,59894.049584528737
B71,59894.901033952861
B72,59894.981753023028
B73,59897.502639051556
B74,59897.584567625679
B75,59897.595283840536
B76,59897.620618565408
B77,59898.632973673040
B78,59898.721160684043
B79,59898.943850825817
B80,59899.541374366680
B81,59899.742433780593
B82,59899.788340721170
B83,59899.837491632097
B85,59899.885004248121
B86,59900.203496207352
B87,59900.855152428652
B88,59901.411212892679
B89,59902.042366094043
B90,59902.384917215626
B91,59902.815733351148
B92,59903.014754691336
B93,59903.256679795937
B94,59903.478735150289
B95,59903.558835210031
B96,59903.608191611842
B97,59904.020340911986
B98,59904.270438633030
B99,59905.747573839180
B100,59905.887227454914
B101,59906.657287044887
B102,59908.495664369882
B103,59908.564736543856
B104,59908.886994124230
B105,59908.947890021424
B106,59910.580913320300
B107,59910.705372417709
B108,59911.661045424022
B109,59911.883644807531
B110,59912.980998424304
B111,59915.833094518821
B112,59917.234065957011
B113,59917.267816319676
B114,59917.511724877753
B115,59922.820334706179
B116,59925.009632827052
B117,59931.627348594622
B118,59935.888991828411
B119,59936.697461851261
B120,59939.628285379295
B121,59939.860966413595
B122,59939.873744337041
B123,59940.628941683310
B124,59940.661559533713
B125,59940.851432350028
B126,59941.650576342712
B127,59941.687389580758
B128,59941.730175552075
B129,59949.882698497371
B131,59978.532357683915
B132,59982.719181445820
