mjd_start_bary,mjd_end_bary
59867.371295922923,59867.435373064116
59867.529913302555,59867.655417932794
59867.655422665885,59867.780376166193
59867.780381586999,59867.863917493276
59867.892462384021,59868.019542692258
59868.008066617207,59868.132312876078
59868.019549245779,59868.146801383220
59868.146808017656,59868.271358389364
59868.271366803776,59868.396359850703
59868.636640602032,59868.761619938879
59868.761627301465,59868.872082544396
59868.858798341076,59869.092742362744
59868.889679978034,59869.015999044481
59869.008055899736,59870.136664968617
59869.016006973441,59869.140765919459
59869.140773807951,59869.265846014969
59869.265949414956,59869.344458868640
59869.348085434372,59869.472703563493
59869.556907951614,59869.684039836742
59869.737384232139,59869.822768057951
59869.822808754492,59869.869324592801
59869.890095447205,59869.963709253971
59869.932686205342,59870.131896579100
59869.990683164826,59870.127035551697
59870.245828091953,59870.370559236304
59870.370623800547,59870.495634038256
59870.495968914947,59870.621302890999
59870.621355157309,59870.746479607194
59870.746693162815,59870.865391874533
59870.884525986352,59870.926672062131
59870.932673316638,59871.131895032471
59870.987892471450,59871.124221475839
59871.363907463325,59871.488738470543
59871.432839895162,59871.666771892160
59871.932659302096,59872.131880793189
59871.985089084708,59872.121452739426
59872.161305148169,59872.285928507976
59872.416715187705,59872.456428401325
59872.461826990868,59872.475748532539
59872.486208489929,59872.613733927014
59872.613740075976,59872.738662503303
59872.738670149054,59872.860240767703
59872.858744874247,59873.136089898064
59872.882543857020,59873.010022120077
59873.010029442194,59873.137813597968
59873.137822376404,59873.262930673853
59873.262936701431,59873.387980505628
59873.412093036946,59873.436919455904
59873.450331143598,59873.575444140617
59873.575448914140,59873.700460451830
59873.700465751281,59873.825531934570
59873.827421349612,59873.973622494319
59873.851078362597,59874.304808908317
59873.853416287799,59873.995670775628
59873.950483315166,59874.075667031801
59874.075678197005,59874.201377825950
59874.201384905333,59874.326213055690
59874.326218395538,59874.451153748872
59874.900342603738,59875.050015775283
59874.903849477858,59875.065906647360
59875.603804072241,59875.730591316220
59876.153120115683,59876.459063195056
59876.588054550477,59876.712400003897
59876.861439623906,59877.093506606878
59877.373232197730,59877.496434611938
59877.509294007818,59877.635464273641
59877.848236405982,59878.087386255705
59877.858618131868,59878.070905114248
59877.861418995701,59878.072375074218
59878.349071868935,59878.423375815481
59878.434248169964,59878.466770619780
59878.473495012964,59878.557764047007
59878.557792857951,59878.680845030067
59879.596211498327,59879.720442297985
59880.398265373442,59880.522508663395
59880.522535443517,59880.646793712192
59880.640476209584,59880.754663221174
59880.646826883931,59880.772001790756
59881.425734773693,59881.548941077170
59881.595259534603,59881.618407114591
59881.807125537962,59881.858316277503
59882.014805344144,59882.153262330699
59882.015453493863,59882.093472267385
59882.362693999887,59882.487224759432
59882.487230909494,59882.523294404295
59882.648914124591,59882.719183283101
59883.036260030647,59883.090922796553
59883.385165342188,59883.509715151704
59883.509743711671,59883.634879984675
59883.635105875561,59883.759350445172
59883.759391464715,59883.830419336380
59883.807049321011,59883.837846996394
59883.835308996117,59883.888395445516
59884.036232719816,59884.088117729269
59884.506292974038,59884.629864264818
59884.629943310378,59884.754375453558
59884.682047878683,59884.872563295205
59884.754408665598,59884.877566668249
59884.877587825249,59884.921496845411
59885.385053448714,59885.509184915703
59885.509190295968,59885.633446329681
59885.634922060679,59885.759187323325
59885.759196384824,59885.795638061507
59886.364392062671,59886.492452648177
59886.492460900619,59886.616757664800
59886.616766483545,59886.741191616878
59886.661167637896,59886.775330765806
59886.741199869313,59886.794712430499
59887.360507184239,59887.484977913715
59887.484984022129,59887.609119494431
59887.609126614159,59887.733411533562
59887.733419462369,59887.857719122243
59887.857727496004,59887.983285735958
59887.983293422032,59888.107688830598
59888.107698782042,59888.231988280204
59888.231995197661,59888.356322351094
59888.356328338123,59888.480599790746
59888.480612088468,59888.604974295726
59888.604981536817,59888.729202860282
59888.729215158011,59888.830123074207
59888.838665492403,59888.965579841046
59888.859489222908,59889.017620448380
59888.965587203485,59889.092499958897
59889.092508170826,59889.216684273953
59889.216693173606,59889.341014372323
59889.341020318898,59889.464549168741
59889.511738524852,59889.636151373401
59889.636157239060,59889.760411797019
59889.810642564022,59889.934781810422
59889.908319979018,59890.071659241810
59889.911039805607,59890.058986099786
59889.934790143736,59890.060220100793
59890.060228474547,59890.184000488785
59890.184007568030,59890.308303794707
59890.308311238048,59890.432602452645
59890.432608318333,59890.556917848313
59890.556923188095,59890.681251720911
59890.681260701436,59890.805542578681
59890.681846722357,59890.734287049781
59890.805554876366,59890.930731334665
59890.930737847593,59891.057838303961
59891.057846758609,59891.181884345031
59891.181892273788,59891.306202212843
59891.306209858427,59891.430529591329
59891.430536306500,59891.554882809418
59891.554972898070,59891.679123598748
59891.569338687441,59891.962484429496
59891.679130071185,59891.803385086561
59891.803391033136,59891.820634112002
59891.816586919209,59891.967426330055
59891.830812418993,59891.955625431023
59891.955633804741,59892.080812617955
59892.080820304000,59892.204736169508
59892.204742075628,59892.329058859621
59892.329064765741,59892.453384102628
59892.453389968287,59892.577705283838
