event_id,toa_mjd_bary
B1,59265.883044420953
B2,59265.886009172442
B3,59280.696187502348
B4,59280.801734025867
B5,59332.504465825128
B6,59335.053976264302
B7,59335.055746572798
B8,59335.056513101001
B9,59335.195426208797
20220114-B1,59593.709000720002
20220114-B2,59593.711190490001
20220114-B3,59593.721525610003
20220114-B4,59593.721632410001
20220114-B5,59593.722854339998
20220114-B6,59593.723475949999
20220114-B7,59593.723662650002
20220114-B8,59593.723772639998
20220114-B9,59593.723933519999
20220114-B10,59593.724024110001
20220114-B11,59593.724062030000
20220114-B12,59593.725647460000
20220114-B13,59593.725976160000
20220114-B14,59593.726585019998
20220114-B15,59593.726943930000
20220114-B16,59593.726967850002
20220114-B17,59593.727670150001
20220114-B18,59593.727771359998
20220114-B19,59593.727780120003
20220114-B20,59593.728350810001
20220114-B21,59593.728361740003
20220114-B22,59593.728767850000
20220114-B23,59593.729565989997
20220114-B24,59593.729664650004
20220114-B25,59593.729782540002
20220114-B26,59593.730219300000
20220114-B27,59593.730659540000
20220114-B28,59593.730987360002
20220114-B29,59593.731182889998
20220114-B30,59593.731187370002
20220114-B31,59593.731272530000
20220114-B32,59593.731398470001
20220114-B33,59593.731622189996
20220114-B34,59593.731765349999
20220114-B35,59593.732152650002
20220114-B36,59593.732281580000
20220114-B37,59593.732302889999
20220114-B38,59593.732441900000
20220114-B39,59593.732451149997
20220114-B40,59593.732788319998
20220114-B41,59593.733246140000
20220114-B42,59593.733255159997
20220114-B43,59593.733649349997
20220114-B44,59593.733693479997
20220114-B45,59593.734039310002
20220114-B46,59593.734202799998
20220114-B47,59593.734219020000
20220114-B48,59593.735053359997
20220114-B49,59593.735200640003
20220114-B50,59593.735881070003
20220114-B51,59593.736325060003
20220114-B52,59593.737261499999
20220114-B53,59593.737269980003
20220117-B1,59596.297691380001
20220221-B1,59631.911145539998
20220221-B2,59631.918781540000
20220223-B1,59633.637106219998
20220223-B2,59633.642889870003
20220317-B1,59655.953391509996
20220317-B2,59655.953916960003
