mjd_start_bary,mjd_end_bary
59199.092398017034,59199.426565080044
59200.096786139111,59200.389134436344
59265.717701292131,59265.911549029093
59280.665047120252,59280.858916450619
59283.800400654232,59283.995102463152
59289.766727134003,59289.949877789542
59295.683498953891,59295.866463048318
59313.438487198517,59313.441404022436
59313.459485931162,59313.501150418473
59314.509422249801,59314.601499685697
59314.889362235284,59314.972366170572
59315.192375708080,59315.229457440611
59316.236317056275,59316.285064072166
59320.829033614958,59320.921527917068
59322.514936795073,59322.598264694345
59332.464175019006,59332.654973459896
59334.807178769639,59334.893840511475
59334.913806298187,59335.219354720153
59335.634128738551,59335.717873700727
59336.714033657576,59336.983346426859
59344.770587415835,59344.874581386546
59347.416435537394,59347.624423789777
59348.889005326077,59349.223291456110
59360.706721852504,59360.914711400030
59371.232229634945,59371.335558203275
59459.025029314012,59459.212536813560
59462.166157762855,59462.379083809712
59559.587518457054,59559.670854818862
59564.905721656207,59564.989057671017
59571.576940453378,59571.660275917609
59575.739055493468,59575.796556978064
59578.626125120507,59578.709460012091
59582.681208415750,59582.689541570406
59582.789210424024,59582.810043811805
59593.654345768373,59593.737679331185
59596.266359283232,59596.301776402106
59598.875365269356,59598.979532382713
59602.239362011962,59602.240612008049
59631.821814393355,59631.925977947023
59632.676785578675,59632.766365557974
59633.602753655265,59633.685667786754
59655.952773848236,59656.056935450069
59668.054111271187,59668.086609391088
59678.080518317947,59678.137181872371
59680.975342611520,59681.044088400304
59693.655563824679,59693.690978658240
