event_id,toa_mjd_bary
20210925-1,59482.944753682001
20210925-2,59482.946971142999
20210925-3,59482.947246821997
20210925-4,59482.947360478000
20210925-5,59482.947595156002
20210925-6,59482.947815988002
20210925-7,59482.947929485999
20210925-8,59482.950287909000
20210925-9,59482.952501355001
20210925-10,59482.953501565004
20210925-11,59482.953785475001
20210925-12,59482.954027419000
20210925-13,59482.955931680997
20210925-14,59482.959509633001
20210925-15,59482.961794764997
20210925-16,59482.961809487002
20210925-17,59482.962619742000
20210925-18,59482.963355540996
20210925-19,59482.965807531000
20210925-20,59482.966180613003
20210925-21,59482.966695144998
20210925-22,59482.968074379001
20210925-23,59482.974072058998
20210925-24,59482.974560107999
20210925-25,59482.979061484002
20210925-26,59482.980701567001
20210925-27,59482.981367394998
20210925-28,59482.981596277998
20210925-29,59482.983078769001
20210926-1,59483.867443675001
20210926-2,59483.867991282998
20210926-3,59483.868851391999
20210926-4,59483.869067965003
20210926-5,59483.869105407000
20210926-6,59483.869790053999
20210926-7,59483.870193251998
20210926-8,59483.871835313999
20210926-9,59483.872841666998
20210926-10,59483.872855950998
20210926-11,59483.873677194002
20210926-12,59483.873699172000
20210926-13,59483.874541186997
20210926-14,59483.874994657999
20210926-15,59483.875301720997
20210926-16,59483.875689551998
20210926-17,59483.876869904001
20210926-18,59483.877107776003
20210926-19,59483.877814795997
20210926-20,59483.878160870998
20210926-21,59483.879058972001
20210926-22,59483.881041360997
20210926-23,59483.881361913998
20210926-24,59483.881435345000
20210926-25,59483.881832585997
20210926-26,59483.882614823000
20210926-27,59483.882985408003
20210926-28,59483.883225496000
20210926-29,59483.883877817003
20210926-30,59483.886391403001
20210926-31,59483.886595486998
20210926-32,59483.887603816002
20210926-33,59483.888466839002
20210926-34,59483.890211364000
20210926-35,59483.890423486002
20210926-36,59483.893986046001
20210926-37,59483.894459160001
20210926-38,59483.894979903998
20210926-39,59483.895567995998
20210926-40,59483.897400590002
20210926-41,59483.898418308003
20210926-42,59483.898460160999
20210926-43,59483.898641950000
20210926-44,59483.898802247997
20210926-45,59483.898869869001
20210926-46,59483.899025833001
20210926-47,59483.899393872998
20210926-48,59483.899524594002
20210926-49,59483.900433903000
20210926-50,59483.900996835997
20210926-51,59483.901564890999
20210926-52,59483.902297237997
20210926-53,59483.904181097001
20210926-54,59483.904327376003
20210926-55,59483.904784682003
20210926-56,59483.905108430998
20210926-57,59483.905206210002
20210927-1,59484.815741507999
20210927-2,59484.815869322003
20210927-3,59484.816215981002
20210927-4,59484.816309852002
20210927-5,59484.816394738998
20210927-6,59484.816756599997
20210927-7,59484.816880206003
20210927-8,59484.817161437000
20210927-9,59484.817232749003
20210927-10,59484.817738015001
20210927-11,59484.817789435001
20210927-12,59484.818234232000
20210927-13,59484.818453861000
20210927-14,59484.818472323997
20210927-15,59484.818655119001
20210927-16,59484.819236308002
20210927-17,59484.820133205998
20210927-18,59484.820670640998
20210927-19,59484.820680669996
20210927-20,59484.820770746999
20210927-21,59484.820931563998
20210927-22,59484.821943691000
20210927-23,59484.821986046998
20210927-24,59484.822034140001
