mjd_start_bary,mjd_end_bary
59482.944617810746,59482.986288430002
59483.864149277084,59483.905819905078
59484.815628368189,59484.857298992683
59485.784469669692,59485.826140282967
59486.785952583865,59486.827623174730
59487.834661392488,59487.876331944295
59488.883369572832,59488.925040082977
59489.856376148186,59489.883658748207
59489.891043333206,59489.981491410595
59494.933916563023,59494.975586882407
59495.913169645668,59495.954839938699
59496.927841027740,59496.969511281568
59497.907786598516,59497.949456823524
59498.914817651188,59498.956487837277
59499.742664691483,59499.784334900134
59500.769834821869,59500.811504983336
59501.899094394648,59501.940764470179
59504.884058797317,59504.925728753376
