event_id,toa_mjd_bary
B00001,60337.234183833003
B00002,60337.236142734997
B00003,60337.237433923001
B00004,60337.239662993001
B00005,60337.239740042001
B00006,60337.243931568002
B00007,60337.246031244998
B00008,60337.246412184002
B00009,60338.213252720998
B00010,60338.217141319998
B00011,60338.221055485003
B00012,60338.223898951001
B00013,60338.224252838998
B00014,60338.224704218999
B00015,60338.227776758002
B00016,60338.230027340003
B00017,60338.230987761002
B00018,60338.230989117001
B00019,60338.231439158997
B00020,60341.177133035002
B00021,60341.179233855997
B00022,60341.184595268001
B00024,60341.184694096999
B00025,60341.187328111999
B00026,60341.193019441002
B00027,60341.193905485001
B00028,60341.194749691000
B00029,60344.238303270999
B00030,60344.257277605000
B00031,60349.153141577997
B00032,60349.153491589997
B00033,60349.154614168998
B00034,60349.164506489004
B00035,60349.165758659998
B00036,60349.165896414997
B00037,60353.213105141003
B00038,60353.213853230998
B00040,60353.214434269001
B00041,60353.215672288003
B00042,60353.217044564997
B00043,60353.218162999001
B00044,60353.218563932998
B00045,60353.220231002000
B00046,60353.222644403999
B00047,60353.223463135997
B00048,60353.224094463003
B00049,60353.228096421997
B00050,60353.231029335999
B00051,60355.127910973999
B00052,60355.128751917000
B00053,60355.129720071003
B00054,60355.130750568998
B00055,60355.131006021998
B00056,60355.131203554003
B00057,60355.132103604999
B00058,60355.135537492002
B00059,60355.136364874001
B00060,60355.136746552998
B00061,60355.139043916002
B00062,60355.140168261998
B00063,60355.140554614998
B00064,60355.142543508999
B00065,60355.144294692996
B00066,60355.144887725000
B00067,60355.145849405999
B00068,60355.146036534003
B00069,60355.146164698002
B00070,60355.146641302999
B00071,60355.147033326000
B00072,60361.177203822997
B00073,60361.177758671998
B00074,60361.178178642003
B00075,60361.178375948002
B00076,60361.178532598999
B00077,60361.179017502000
B00078,60361.179122538000
B00079,60361.180525039003
B00081,60361.181746932001
B00082,60361.181775808996
B00083,60361.182016172999
B00084,60361.182524673000
B00085,60361.182976343000
B00086,60361.184185719998
B00087,60361.184558027002
B00088,60361.186616785999
B00089,60361.187198262996
B00090,60361.188605579002
B00092,60361.190055202998
B00093,60361.191421812997
B00094,60361.191506809999
B00095,60361.192517721000
B00096,60365.129413877999
B00097,60365.130778826999
B00098,60365.131647866001
B00099,60365.133299399000
B00100,60365.141192345000
B00101,60365.141511741997
B00102,60365.143672193000
B00103,60365.144876366998
B00104,60365.144949435999
B00105,60365.146286369003
B00106,60365.146298346997
B00107,60374.184842322000
B00108,60374.185037032003
B00110,60374.185051688997
B00111,60374.185196617997
B00112,60374.185228463000
B00113,60374.185331813002
B00114,60374.185347220002
B00116,60374.185416603003
B00117,60374.185424253003
B00118,60374.185446641000
B00119,60374.185492281002
B00121,60374.185507126997
B00122,60374.185599067001
B00124,60374.185714963998
B00127,60374.185956385001
B00128,60374.186065009999
B00129,60374.186121676998
B00130,60374.186319560999
B00131,60374.186420257000
B00132,60374.186421448998
B00133,60374.186473059999
B00134,60374.186570357000
B00136,60374.186581667003
B00137,60374.186647928997
B00139,60374.186657926999
B00140,60374.186738621000
B00141,60374.187053080001
B00142,60374.187151327002
B00144,60374.187183909999
B00146,60374.187185798997
B00147,60374.187225777998
B00148,60374.187367477003
B00149,60374.187377470000
B00150,60374.187393449000
B00151,60374.187637779003
B00152,60374.187677223999
B00153,60374.187744351002
B00154,60374.187811623000
B00155,60374.187863870000
B00156,60374.187981925999
B00157,60374.188011781996
B00158,60374.188045962001
B00159,60374.188183587001
B00160,60374.188402656000
B00161,60374.188412486001
B00162,60374.188419099002
B00163,60374.188513342000
B00164,60374.188596567001
B00165,60374.188758531003
B00166,60374.189250212003
B00167,60374.189290863003
B00168,60374.189381183998
B00169,60374.189447076002
B00170,60374.189563127999
B00171,60374.189564387998
B00172,60374.189635638002
B00173,60374.189696583999
B00174,60374.189706769001
B00175,60374.189909259003
B00176,60374.190154069998
B00177,60374.190222352001
B00178,60374.190238313997
B00179,60374.190242910998
B00180,60374.190288559003
B00181,60374.190413910001
B00183,60374.190463059000
B00184,60374.190478279001
B00185,60374.190526781000
B00186,60374.190569206999
B00187,60374.190598708999
B00189,60374.190634284001
B00190,60374.190691317999
B00191,60374.190890430000
B00192,60374.191129812003
B00193,60374.191311602000
B00194,60374.191413995999
B00195,60374.191640038000
B00196,60374.191687626000
B00197,60374.191825451002
B00198,60374.192025559998
B00199,60374.192112844001
B00201,60374.192127813003
B00202,60374.192134006997
B00205,60374.192153081996
B00206,60374.192457286998
B00207,60374.192677120998
B00209,60374.192720261999
B00211,60374.192789467997
B00212,60374.192878909002
B00213,60374.192981521999
B00215,60374.193018514001
B00216,60374.193044551997
B00217,60374.193372610003
B00218,60374.193450204999
B00219,60374.193473414998
B00222,60374.193654870003
B00225,60374.193720461997
B00226,60374.193770735001
B00228,60374.193855935002
B00229,60374.193943585997
B00230,60374.194058428002
B00231,60374.194092215999
B00232,60374.194156512000
B00233,60374.194398738000
B00234,60374.194565227001
B00235,60374.194566388003
B00237,60374.194796053001
B00239,60374.194993559002
B00240,60374.195079949997
B00241,60374.195149851999
B00242,60374.195191323997
B00243,60374.195327884001
B00244,60374.195764242999
B00245,60374.195945373998
B00246,60374.195982388999
B00249,60374.196018312003
B00250,60374.196027569000
B00251,60374.196028944003
B00252,60374.196068379999
B00253,60374.196315285000
B00254,60374.196366805998
B00256,60374.196430049997
B00257,60374.196475370998
B00258,60374.196595820002
B00259,60374.196669618002
B00260,60374.196742961001
B00261,60374.196830854002
B00264,60374.197027422997
B00265,60374.197236929998
B00266,60374.197282369998
B00268,60374.197684122002
B00269,60374.197822046997
B00270,60374.197893652999
B00272,60374.197923120999
B00274,60374.198298643998
B00276,60374.198872255998
B00277,60374.198897953000
B00278,60374.198926812001
B00279,60374.199009399003
B00280,60374.199097939003
B00281,60374.199157401003
B00282,60374.199557804997
B00283,60374.199564486000
B00285,60374.199569605997
B00287,60374.199598753003
B00288,60374.199851334000
B00289,60374.199913445002
B00290,60374.199945911998
B00291,60374.200196268001
B00292,60374.200326161001
B00293,60374.200373688996
B00294,60374.200527836001
B00295,60374.200764075998
B00296,60374.201104241001
B00298,60374.201121527003
B00299,60374.201795733999
B00300,60374.202120171001
B00301,60374.202143568000
B00302,60374.202417474997
B00303,60374.202420182999
B00304,60374.202472999998
B00307,60374.202488588999
B00308,60374.202524897999
B00309,60374.202607494000
B00311,60374.202929746003
B00312,60374.203199978998
B00313,60374.203277524000
B00315,60374.203460634002
B00317,60374.203496064998
B00318,60374.203548413003
B00319,60374.203624342001
B00320,60374.203701922001
B00321,60374.204038131997
B00323,60374.204064161000
B00324,60374.204232575001
B00325,60374.204444281000
B00327,60374.204488969001
B00328,60374.204515275997
B00329,60374.204574468997
B00330,60374.204711320999
B00331,60374.204730352998
B00332,60375.131736506002
