mjd_start_bary,mjd_end_bary
60337.225510039396,60337.246342401668
60338.210897580393,60338.231729977364
60341.175401292836,60341.196233793686
60344.236445341754,60344.257278933794
60349.148176038878,60349.169008813697
60353.211338115223,60353.232172018077
60355.126610609746,60355.147443593502
60361.174550323398,60361.195383504244
60365.127374694508,60365.148209016588
60374.183828317102,60374.204662925855
60375.130385108932,60375.213721685039
60376.098471984325,60376.181807706569
60377.188786491934,60377.217189450523
60378.187432539926,60378.201437034470
60379.195108441156,60379.214935169643
60380.148616795603,60380.190284398217
60381.034067729350,60381.216714080248
60382.169531288935,60382.211200007543
60384.186979616185,60384.200869228436
60386.114846556527,60386.135680542888
60390.154632614664,60390.168522343367
60396.129972521638,60396.150807775113
60398.978761213679,60398.999596563815
60401.063620391738,60401.084454776304
60403.043615267372,60403.064449700811
60407.089041029147,60407.109875541610
60410.018425115355,60410.039260698868
60413.021435053204,60413.042269691075
60417.076621474902,60417.097457169693
60421.007504910609,60421.028339674100
60424.982151413409,60425.002987230706
60430.028431729370,60430.049266589158
60434.956655573696,60434.977491483391
60441.889241296529,60441.910076246058
60448.898227857026,60448.912118156033
60455.915545765507,60455.929436044731
60461.951513319880,60461.965402566049
60469.830681313455,60469.844571516667
60476.880577636904,60476.894467764148
60483.885988346869,60483.899878389151
60490.867047584637,60490.880937531663
60497.863333346984,60497.877223182797
60504.766500943457,60504.780390668646
60511.690440421124,60511.704330023560
60513.806499767285,60513.821084341609
60515.779492515234,60515.840605747966
60517.825398157118,60517.846232852120
60518.748345969187,60518.762235422975
60519.771295637256,60519.792129281152
60521.806077999790,60521.826911573582
60524.789488278831,60524.803377600030
60527.783997169572,60527.797886426444
60530.781269212304,60530.795158403758
60536.784105126018,60536.797994184366
60539.716056824902,60539.729945825929
60543.743823278470,60543.757712186874
60551.705531291802,60551.719419027919
60558.699807213554,60558.713695797298
60566.541197175051,60566.555085612774
60572.684667828842,60572.698556127798
60580.637701783126,60580.651589938803
60588.532327018023,60588.546215052767
60594.483999218734,60594.497887170422
60604.524140016940,60604.538027839058
60612.477611459028,60612.491499210955
60619.417947309390,60619.431835021955
60630.406492888040,60630.489817943591
60637.473874806645,60637.487762481396
60648.402020054615,60648.415907782626
60653.352267877963,60653.435594478462
60660.432213104599,60660.446100933877
60669.345391581635,60669.428718258336
60670.396701790363,60670.410588748993
60676.310864197694,60676.378914573914
60677.266355032130,60677.280243112349
60683.302782108993,60683.344446646886
60687.287975228479,60687.329638993564
60690.241989460861,60690.325319353069
60694.277219432966,60694.298051525271
60698.215254300703,60698.229142785123
60702.214423214435,60702.228311784769
60706.236533008232,60706.278198973079
60714.263472016886,60714.277359850748
60721.212737429727,60721.254404417537
60728.244028680485,60728.257917833384
60735.140676148003,60735.154565466975
60742.114485457336,60742.128374929089
60751.085681970595,60751.099571625586
60756.061627993993,60756.075517744990
60762.993976241029,60763.007866120402
60788.920247433831,60788.934137643118
60796.893869391824,60796.907759657377
60803.979935134790,60803.993825417027
60817.884701158895,60817.898591453042
60820.978043429684,60820.991933703168
60824.884651555330,60824.898541822535
60831.970703336825,60831.984592548026
60838.807401771795,60838.821291942433
60847.760898661531,60847.802568883439
60850.754180305179,60850.775014860272
60869.751918808899,60869.765808541146
60876.798088486794,60876.839757261361
60877.716877399333,60877.737711276182
60879.787099748799,60879.807933550735
60881.729533359765,60881.750367112734
60900.759806526177,60900.773695616423
60911.726455157775,60911.740344006801
60919.611046202059,60919.624934890351
60930.595426403968,60930.609314860863
60939.651956533657,60939.665844802388
60949.564569398193,60949.578457498268
