event_id,toa_mjd_bary
B0,59867.906540726355
B2,59867.906850723230
B3,59867.909280698710
B5,59867.909740694064
B7,59867.910880682546
B8,59867.911060680723
B9,59867.911340677892
B6,59867.911670674563
B10,59867.912020671029
B11,59867.912690664249
B12,59867.912810663031
B13,59867.913440656659
B14,59867.915900631742
B16,59867.917190618668
B15,59867.918200608423
B17,59867.918740602945
B18,59867.918820602128
B19,59867.919960590560
B20,59869.882648687344
B21,59869.882908684165
B22,59869.885708649890
B23,59869.886808636409
B25,59869.886908635184
B26,59869.888268618510
B27,59870.872975984908
B28,59870.873055983844
B29,59870.873705975187
B30,59870.874255967858
B31,59870.877645922650
B33,59870.880685882061
B32,59870.881275874177
B35,59870.881775867492
B36,59870.882345859871
B34,59870.882705855060
B37,59870.886135809153
B39,59870.888015783974
B40,59870.889575763060
B42,59870.891005743877
B38,59870.891735734083
B41,59870.891795733274
B43,59870.891985730726
B44,59870.894035703197
B45,59871.866452132592
B46,59871.871672057241
B47,59871.871762055947
B48,59871.872382046982
B49,59871.873112036432
B51,59871.874332018786
B52,59871.876251991009
B50,59871.876891981745
B54,59871.879301946843
B53,59871.879961937273
B55,59871.883281889124
B57,59871.884711868363
B58,59871.885281860094
B56,59871.885501856894
B59,59871.889771794828
B60,59871.890221788279
B61,59871.893161745473
B63,59871.894401727404
B64,59871.894751722306
B65,59871.895251715025
B67,59871.905011572482
B68,59873.856471051651
B69,59873.856891044663
B70,59873.864720914251
B71,59873.864790913081
B72,59873.867300871207
B73,59873.871370803230
B74,59873.873970759756
B75,59873.877230705199
B76,59873.879990658956
B77,59873.881150639507
B79,59873.881680630628
B80,59873.882260620900
B78,59873.882780612170
B90,59873.885630564342
B81,59873.889140505373
B82,59873.889860493262
B83,59873.891010473926
B84,59873.891220470396
B85,59873.891540465011
B87,59873.892430450032
B88,59873.893950424448
B91,59873.896560380483
B89,59873.896950373914
B92,59873.897730360768
B95,59873.900860307971
B93,59873.901030305104
B94,59873.901080304262
B96,59874.855273781628
B97,59874.858953716248
B98,59874.859273710565
B99,59874.859493706652
B101,59874.860153694914
B102,59874.860193694214
B100,59874.861063678734
