mjd_start_bary,mjd_end_bary
59867.906342728355,59867.921373576210
59869.882200692824,59869.893075559492
59870.870880012815,59870.894082702565
59871.865878140859,59871.908111527089
59873.855442068758,59873.903335266194
59874.854208800527,59874.882330299261
59875.855348375459,59875.896769588770
59876.844646073623,59876.869791570462
59877.851766313921,59877.891718466752
59878.841698819037,59878.871337160148
59879.828967313202,59879.885854985507
59881.830724438427,59881.880331172848
59882.830605412601,59882.860266625488
59883.848483827431,59883.876153061014
59884.825342324286,59884.847154700023
59884.851915563428,59884.873325947621
59885.822593219433,59885.852219340166
59887.806896250469,59887.846454996528
59888.817742648935,59888.861630209751
59889.808670687664,59889.841641575549
59890.813520263153,59890.855741794396
59891.804411336983,59891.835739218390
59892.806690031444,59892.826929289149
59892.831619116834,59892.851257394002
59893.800345074771,59893.829982959040
59894.787541417594,59894.844429220713
59896.792068115123,59896.839938175246
59897.786495379834,59897.820023991961
59898.784381588695,59898.833826494643
59899.783852824090,59899.813478543918
59900.778091393280,59900.828275178246
59901.768128275420,59901.807675497766
59903.772550349284,59903.820904089182
59904.773418166333,59904.799904907115
59906.766203749394,59906.794277369016
59907.778595537435,59907.809388996269
59909.757233084056,59909.802973726422
59911.750195918532,59911.797683401201
59912.737551243627,59912.777098121951
59915.742802773893,59915.786689327113
59917.735549444020,59917.781621817288
59919.725457828463,59919.775050942349
59921.729657056363,59921.769607685324
59923.716830104167,59923.764733211108
59925.708572837757,59925.758164793944
59927.700138677894,59927.752694404116
59931.691541693086,59931.741772482375
59935.687325558902,59935.731611669471
60007.491606288000,60007.525733087474
60011.471717154069,60011.501342231750
60012.476027348908,60012.515979144322
60014.468168322623,60014.510401136809
60016.457755510062,60016.505649266226
60019.463758192389,60019.506026228708
60020.444176386110,60020.477124672965
60021.454734009931,60021.491768246939
60023.449081119528,60023.485919441810
60026.438580111397,60026.477189530458
60030.416573153881,60030.466155632072
60033.416187574105,60033.454091303502
60036.413532204213,60036.444537087809
60040.400274194202,60040.434418220109
60042.397353930231,60042.428273023092
60044.391860141572,60044.422865304208
60047.381162808175,60047.415307101845
60049.378150183715,60049.415186584229
60051.370407937764,60051.408775437871
60054.362268852077,60054.400635478436
