event_id,toa_mjd_bary
B01,60490.877254813000
B02,60490.877781704003
B03,60490.877863289999
B04,60491.871781301998
B05,60500.668215639998
B06,60500.686660405998
B07,60501.614672263000
B08,60501.618415652003
B09,60501.628657695001
B10,60501.640032704003
B11,60501.674640851998
B12,60501.714895960002
B13,60501.736947322002
B14,60501.746368895001
B15,60501.750034616998
B16,60501.823491590003
B17,60501.825323425997
B18,60501.873196720000
B19,60503.591180076000
B20,60503.637351395002
B21,60503.679182275999
B22,60503.685747247000
B23,60503.691442388001
B24,60503.711994224999
B25,60503.790386688997
B26,60503.806707595002
B27,60505.667786678001
B29,60508.669378751998
B30,60508.678488274003
B31,60509.604672465997
B32,60509.634631793997
B33,60509.635296207998
B34,60509.643131645003
B35,60509.651494821999
B36,60509.693539407002
B37,60509.736924514997
B38,60509.794599389003
B39,60509.818438946000
B40,60509.818716706002
B41,60509.828105765999
B42,60509.829040812998
B43,60509.853829817999
B44,60509.862573831997
B45,60509.882481973997
B46,60509.888330729998
B47,60509.890516965999
B48,60509.908105884002
B49,60511.584171533003
B50,60511.595121956998
B51,60511.626970849000
B52,60511.642859541003
B53,60511.647019470001
B54,60511.657714415000
B55,60511.684513740001
B56,60511.728715851998
B57,60511.777229724998
B58,60511.797287973997
B59,60511.816745780998
B60,60512.568038625002
B61,60512.579568328998
B62,60512.586517957003
B63,60512.633836460998
B64,60512.642024631998
B65,60512.651620302997
B66,60512.653223267000
B67,60512.654142166000
B68,60512.664815664997
B69,60512.667726336003
B70,60512.669901654001
B71,60512.671530981999
B72,60512.673234841001
B73,60512.676784417003
B74,60512.677568154999
B75,60512.689251370000
B76,60512.692032908002
B77,60512.697377568002
B78,60512.712234040999
B79,60512.712916046003
B80,60512.738444217997
B81,60512.761398344999
B82,60512.769740873002
B83,60512.770525155996
B84,60512.774487784001
B85,60512.774641898999
B86,60512.788798474998
B87,60512.837235334002
B88,60512.839860216998
B89,60512.841146995997
B90,60512.857326366000
B91,60512.864387230999
B92,60512.873368943998
B93,60514.748025820998
B94,60514.783919524001
B95,60514.796840987998
B96,60514.816124901998
B97,60514.816393025001
B98,60514.838598563001
B99,60514.849112130003
B100,60514.860204393000
B101,60514.866236488000
B102,60514.875840437002
B103,60514.878805483997
B104,60514.879354005003
B105,60516.742769399003
B106,60522.764164633998
B107,60522.783900388997
B108,60522.850074189002
B110,60522.851092297002
B111,60522.896691061003
B112,60522.902640670000
B113,60551.677883703996
B114,60552.702419476002
B115,60553.709221327998
B116,60553.721187638002
B117,60556.583936821000
B118,60556.589199651004
B119,60570.699308661999
B120,60585.683098037000
B121,60591.612777770002
B122,60614.344688587000
B123,60674.366632354002
B124,60682.297361270001
B125,60682.322387619999
B126,60683.405511536999
B127,60684.213436635000
B128,60687.320886836998
B129,60687.321737199003
B130,60687.324272473998
B131,60687.325454391001
B132,60688.348701796000
B133,60689.315550539002
B134,60695.374708791001
B135,60695.389946345000
B136,60695.393007487997
B137,60695.398456531999
B138,60695.399895691000
B139,60695.400039884000
B140,60698.320643687999
B141,60698.320786122997
B142,60698.344802560001
B143,60698.354370198002
B145,60700.344099273003
B146,60700.352874848002
B147,60700.356133685003
B148,60700.388086512998
B149,60700.390532284000
B150,60701.342236338998
B151,60701.378825815002
B152,60711.174810850003
B153,60711.239603996997
B154,60711.254558469001
B155,60721.295201146997
