mjd_start_bary,mjd_end_bary
60338.250942472492,60338.334279116723
60343.076955189579,60343.090239639816
60346.294082715140,60346.377346343623
60347.266058713358,60347.349396559264
60347.979231646132,60348.104239385939
60358.131544876436,60358.256554564345
60359.974517415460,60360.016187881229
60364.154965278147,60364.196635969820
60490.874270269815,60490.915943231274
60491.837842808745,60491.879515737361
60500.661484838580,60500.703157390381
60501.595658114202,60501.887349237550
60503.590246686697,60503.923596647510
60505.652727185043,60505.923575336863
60506.563421049061,60506.667594142709
60508.600857537327,60508.684200631280
60509.576215177985,60509.909562484703
60511.578259840986,60511.911606213354
60512.559481800257,60512.892840486747
60514.738272777868,60514.904945716786
60516.719411008249,60516.906911748447
60522.757377244605,60522.903218955529
60523.726082985610,60523.882326376450
60524.716882725974,60524.883564777709
60526.695236892258,60526.778577703619
60528.714442220167,60528.797782754991
60531.737891021578,60531.821231144233
60540.692190842805,60540.733860909473
60545.713958778048,60545.797297059406
60551.668124123891,60551.751461640029
60552.679724952817,60552.763062328464
60553.618015598629,60553.784678544325
60556.532679877506,60556.699353739801
60557.620439947059,60557.766273747387
60570.659094139606,60570.742416532368
60573.644665387401,60573.728000171512
60576.657584097469,60576.740918534859
60585.632026417006,60585.694532621848
60591.580234271823,60591.663567237105
60597.559120193597,60597.642452673070
60614.341030811251,60614.382697189307
60619.477953513531,60619.561272084444
60624.362668438829,60624.487665875982
60631.383436353579,60631.466767513237
60655.473088305625,60655.556420053479
60665.340886623286,60665.424219080363
60674.362479716416,60674.445812930055
60682.287622630676,60682.370956690611
60683.172662428427,60683.218965273933
60683.390982858684,60683.453489534091
60684.071382958915,60684.238038968739
60686.308953786705,60686.423529590953
60687.222920493616,60687.389589749459
60688.347178268974,60688.430512975792
60689.242132368985,60689.387962865818
60695.373804609189,60695.415472961475
60698.294372131117,60698.356880167077
60700.336718179358,60700.413107853310
60701.319717844206,60701.423882168972
60711.171119034945,60711.296113450793
60712.166739947366,60712.291747301344
60714.645457646322,60714.728795884388
60715.216389649708,60715.341397582903
60717.075425063929,60717.158763653511
60720.245631739737,60720.349799304226
60721.217992144651,60721.301331206392
