row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
0,stk,r117_59867_1,59867.3667301921,59867.430807935176,98.4375,1381.46484375,1332.24609375,1430.68359375,5536.317001632415,92.27195002720691,1.5378658337867819,0.06407774307444924
1,stk,r117_59867_2,59867.525349042226,59867.65085481084,98.4375,1381.46484375,1332.24609375,1430.68359375,10843.698407616466,180.72830679360777,3.0121384465601295,0.12550576860667206
2,stk,r117_59867_3,59867.650859543974,59867.77581420338,98.4375,1381.46484375,1332.24609375,1430.68359375,10796.082573174499,179.93470955290832,2.9989118258818053,0.12495465941174189
3,stk,r117_59867_4,59867.775819624236,59867.85935634072,98.4375,1381.46484375,1332.24609375,1430.68359375,7217.5723041873425,120.29287173645571,2.004881195607595,0.0835367164836498
4,stk,r117_59867_5,59867.88790151643,59868.014983142675,98.4375,1381.46484375,1332.24609375,1430.68359375,10979.852507798932,182.99754179664887,3.049959029944148,0.12708162624767283
5,wb,pcn017,59868.003506944435,59868.12775454223,128.0,1271.0,1207.0,1335.0,10568.93407870084,176.14890131168067,2.9358150218613446,0.12232562591088936
6,stk,r117_59868_6,59868.01498969626,59868.142243212904,98.4375,1381.46484375,1332.24609375,1430.68359375,10994.7038379265,183.24506396544166,3.0540843994240277,0.12725351664266782
7,stk,r117_59868_7,59868.14224984741,59868.266801581754,98.4375,1381.46484375,1332.24609375,1430.68359375,10761.26984709408,179.354497451568,2.9892416241928,0.12455173434136665
8,stk,r117_59868_8,59868.26680999626,59868.3918043818,98.4375,1381.46484375,1332.24609375,1430.68359375,10799.514910345895,179.9919151724316,2.99986525287386,0.12499438553641082
9,stk,r117_59868_9,59868.63208760428,59868.75706823536,98.4375,1381.46484375,1332.24609375,1430.68359375,10798.326525371522,179.97210875619203,2.999535145936534,0.12498063108068891
10,stk,r117_59868_10,59868.75707559803,59868.867532035576,98.4375,1381.46484375,1332.24609375,1430.68359375,9543.436204246244,159.05727007077073,2.650954501179512,0.11045643754914633
