burst_no,toa_mjd_bary_inffreq,dm_pccm3
1,58377.42972096,349.2
2,58410.34656422,349.0
3,58410.34656495,349.0
4,58426.29413444,349.5
5,58426.30088378,349.6
6,58442.25174905,349.9
7,58474.17007574,349.1
8,58475.16454902,349.7
9,58477.16557196,348.9
10,58478.15889115,348.8
11,58509.06654412,349.8
12,58621.75641235,349.8
13,58621.76154355,350.2
14,58622.74024356,348.9
15,58622.75315853,349.4
16,58622.75441645,349.3
17,58637.71187752,349.9
18,58638.71347350,348.82
19,58639.70267121,349.7
20,58639.70713864,348.86
21,58704.53530987,349.6
22,58705.53461219,349.3
23,58720.49302597,349.0
24,58720.49551788,349.7
25,58720.49551860,349.7
26,58720.49669723,349.5
27,58786.31947325,349.7
28,58786.32497972,349.1
29,58835.17721035,349.5
30,58836.17591788,350.1
31,58836.17845766,349.5
32,58836.17845804,349.5
33,58868.07829861,349.6
34,58882.04838586,349.4
35,58883.04146680,349.6
36,58883.04307123,349.81
37,58883.04556977,349.8
38,58883.05523556,348.7
