burst_no,toa_mjd
1,58002.060649899
2,58002.060794618
3,58002.063269026
4,58002.104939709
5,58002.139243447
6,58002.166825811
7,58002.258539197
8,58440.838835667
9,58440.862656975
10,58440.923733529
11,58440.936807041
12,58440.989835921
13,58440.998861733
14,58441.007579584
15,58441.008221936
16,58441.012582998
17,58441.015540453
18,58441.018047897
19,58441.019135880
20,58441.028824049
21,58441.028824494
22,58441.029775293
23,58441.059832185
24,58441.059991054
25,58441.061410818
26,58441.064588499
27,58441.067400861
28,58441.106370081
29,58441.109293484
30,58441.112477441
31,58441.124609034
32,58720.206275908
33,58720.230616442
34,58735.230804235
35,58735.237756158
36,58735.239630828
