burst_id,toa_mjd_bary_tdb_inffreq,source_table,session_id,toa_mjd_kirsten2022_superseded,toa_shift_ms,notes
B1,59265.88304442095,pearlman2024_tab_radio_burst_properties,P03,59265.88304437179,4.248,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency); deduplicated by published burst ID against Kirsten 2022 tab:pol_properties (and Nimmo 2022), which used a superseded source position; superseded TOA recorded"
B2,59265.88600917244,pearlman2024_tab_radio_burst_properties,P03,59265.88600912486,4.111,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency); deduplicated by published burst ID against Kirsten 2022 tab:pol_properties (and Nimmo 2022), which used a superseded source position; superseded TOA recorded"
B3,59280.69618750235,pearlman2024_tab_radio_burst_properties,P04,59280.69618745651,3.960,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency); deduplicated by published burst ID against Kirsten 2022 tab:pol_properties (and Nimmo 2022), which used a superseded source position; superseded TOA recorded"
B4,59280.80173402587,pearlman2024_tab_radio_burst_properties,P04,59280.80173397988,3.973,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency); deduplicated by published burst ID against Kirsten 2022 tab:pol_properties (and Nimmo 2022), which used a superseded source position; superseded TOA recorded"
B5,59332.50446582513,pearlman2024_tab_radio_burst_properties,P12,59332.50446581106,1.216,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency); deduplicated by published burst ID against Kirsten 2022 tab:pol_properties (and Nimmo 2022), which used a superseded source position; superseded TOA recorded"
B6,59335.0539762643,pearlman2024_tab_radio_burst_properties,P13,,,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency)"
B7,59335.0557465728,pearlman2024_tab_radio_burst_properties,P13,,,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency)"
B8,59335.0565131010,pearlman2024_tab_radio_burst_properties,P13,,,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency)"
B9,59335.1954262088,pearlman2024_tab_radio_burst_properties,P13,,,"adopted TOA: Pearlman 2024 refined re-barycentring (corrected VLBI position, DE405, TDB, infinite frequency)"
20220114-B1,59593.70900072,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B2,59593.71119049,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B3,59593.72152561,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B4,59593.72163241,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B5,59593.72285434,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B6,59593.72347595,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B7,59593.72366265,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B8,59593.72377264,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B9,59593.72393352,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B10,59593.72402411,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B11,59593.72406203,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B12,59593.72564746,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B13,59593.72597616,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B14,59593.72658502,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B15,59593.72694393,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B16,59593.72696785,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B17,59593.72767015,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B18,59593.72777136,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B19,59593.72778012,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B20,59593.72835081,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B21,59593.72836174,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B22,59593.72876785,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B23,59593.72956599,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B24,59593.72966465,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B25,59593.72978254,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B26,59593.73021930,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B27,59593.73065954,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B28,59593.73098736,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B29,59593.73118289,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B30,59593.73118737,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B31,59593.73127253,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B32,59593.73139847,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B33,59593.73162219,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B34,59593.73176535,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B35,59593.73215265,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B36,59593.73228158,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B37,59593.73230289,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B38,59593.73244190,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B39,59593.73245115,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B40,59593.73278832,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B41,59593.73324614,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B42,59593.73325516,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B43,59593.73364935,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B44,59593.73369348,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B45,59593.73403931,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B46,59593.73420280,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B47,59593.73421902,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
20220114-B48,59593.73505336,nimmo2023_tab_burst_properties,N31,,,"TOA barycentric TDB at infinite frequency (VLBI position, DM 87.7527)"
