session_id,mjd_start_topo,mjd_end_topo,utc_start,utc_end,on_source_min,published_duration_hr,backend,n_bursts,window_source,window_rule,notes
P01,59199.088692,59199.422847,2020-12-16 02:07:43,2020-12-16 10:08:54,480.0,,PFFTS & EDD,0,pearlman2024_tab_radio_obs,pearlman_precedence,on-source UTC window (Pearlman 2024); session absent from Nimmo and Kirsten logs
P02,59200.093044,59200.385382,2020-12-17 02:13:59,2020-12-17 09:14:57,420.0,,PFFTS & EDD,0,pearlman2024_tab_radio_obs,pearlman_precedence,on-source UTC window (Pearlman 2024); session absent from Nimmo and Kirsten logs
P03,59265.713854,59265.907708,2021-02-20 17:07:57,2021-02-20 21:47:06,162.0,,PSRIX & VLBI,2,pearlman2024_tab_radio_obs,pearlman_precedence,"on-source UTC window (Pearlman 2024); supersedes Nimmo row 1 (start 59265.708, 4.99 hr), Kirsten PR141A (59265.708-59265.916)"
P04,59280.661782,59280.855660,2021-03-07 15:52:58,2021-03-07 20:32:09,162.2,,PSRIX & VLBI,2,pearlman2024_tab_radio_obs,pearlman_precedence,"on-source UTC window (Pearlman 2024); supersedes Nimmo row 2 (start 59280.656, 4.99 hr), Kirsten PR143A (59280.656-59280.864)"
P05,59283.797280,59283.991991,2021-03-10 19:08:05,2021-03-10 23:48:28,161.2,,PSRIX & VLBI,0,pearlman2024_tab_radio_obs,pearlman_precedence,"on-source UTC window (Pearlman 2024); supersedes Nimmo row 3 (start 59283.792, 4.99 hr), Kirsten PR144A (59283.792-59284.0)"
P06,59289.763900,59289.947060,2021-03-16 18:20:01,2021-03-16 22:43:46,148.9,,PSRIX & VLBI,0,pearlman2024_tab_radio_obs,pearlman_precedence,"on-source UTC window (Pearlman 2024); supersedes Nimmo row 4 (start 59289.75, 4.99 hr), Kirsten PR145A (59289.75-59289.958)"
P07,59295.680984,59295.863958,2021-03-22 16:20:37,2021-03-22 20:44:06,149.3,,PSRIX & VLBI,0,pearlman2024_tab_radio_obs,pearlman_precedence,"on-source UTC window (Pearlman 2024); supersedes Nimmo row 5 (start 59295.667, 4.99 hr), Kirsten PR146A (59295.667-59295.875)"
N06,59313.437,59313.439917,,,,0.07,PSRIX baseband-mode,0,nimmo2023_tab_observations,nimmo_only,start+duration from Nimmo 2023 tab:observations
N07,59313.458,59313.499667,,,,1.0,PSRIX baseband-mode,0,nimmo2023_tab_observations,nimmo_only,start+duration from Nimmo 2023 tab:observations
N08,59314.508,59314.600083,,,,2.21,PSRIX baseband-mode,0,nimmo2023_tab_observations,nimmo_only,start+duration from Nimmo 2023 tab:observations
P08,59314.887963,59314.970972,2021-04-10 21:18:40,2021-04-10 23:18:12,73.3,,PSRIX & VLBI,0,pearlman2024_tab_radio_obs,pearlman_precedence,"on-source UTC window (Pearlman 2024); supersedes Nimmo row 9 (start 59314.887, 2.04 hr), Kirsten PR153A (59314.887-59314.972)"
P09,59315.190995,59315.228079,2021-04-11 04:35:02,2021-04-11 05:28:26,53.4,,PSRIX,0,pearlman2024_tab_radio_obs,pearlman_precedence,"on-source UTC window (Pearlman 2024); supersedes Nimmo row 10 (start 59315.191, 0.89 hr)"
