session_date,burst_no,toa_mjd_bary_inffreq,nu_low_mhz,nu_0_mhz,nu_high_mhz,bw_mhz,w_sb_ms,snr,fluence_mjy_ms,group
20210925,1,59482.944753682,1031.7,1071.5,1267.0,390.8,10.0,20,93,D1-L
20210925,2,59482.946971143,1031.7,,1130.8,99.1,8.1,52,459,NE-L
20210925,3,59482.947246822,1031.7,,1080.0,48.3,18.4,15,177,NE-L
20210925,4,59482.947360478,1031.7,984.7,1098.6,227.7,8.6,11,115,NE-L
20210925,5,59482.947595156,1031.7,901.0,1076.5,351.0,8.8,18,219,NE-L
20210925,6,59482.947815988,1031.7,1013.3,1193.8,361.0,9.8,14,77,NE-L
20210925,7,59482.947929486,,,,,19.0,1000,11962,UD-L
20210925,8,59482.950287909,1031.7,1153.8,1360.3,413.0,10.9,98,589,D1-M
20210925,9,59482.952501355,,,,,11.4,47,364,D2-L
20210925,10,59482.953501565,,,,,21.1,90,641,C
20210925,11,59482.953785475,1031.7,,1121.0,89.4,11.1,15,109,NE-L
20210925,12,59482.954027419,1031.7,1058.7,1181.2,244.9,7.6,15,66,NE-L
20210925,13,59482.955931681,1031.7,1123.7,1291.2,335.0,7.6,43,193,ND
20210925,14,59482.959509633,,,,,15.0,464,3465,D2-L
20210925,15,59482.961794765,,,,,26.0,1637,15615,Dm-M
20210925,16,59482.961809487,1031.7,1069.8,1178.0,216.5,9.1,13,104,NE-L
20210925,17,59482.962619742,1031.7,1108.9,1224.5,231.4,17.3,39,339,ND
20210925,18,59482.963355541,1031.7,1043.2,1166.6,246.7,11.8,21,151,NE-L
20210925,19,59482.965807531,1031.7,1043.8,1151.0,214.3,7.3,155,1479,NE-L
20210925,20,59482.966180613,1031.7,1104.8,1232.1,254.8,15.5,680,7862,D1-L
20210925,21,59482.966695145,,,,,19.7,21,225,C
20210925,22,59482.968074379,1031.7,1003.7,1188.5,369.6,12.1,17,125,NE-L
20210925,23,59482.974072059,,,,,10.1,292,2173,D2-L
20210925,24,59482.974560108,,,,,21.0,173,1086,C
20210925,25,59482.979061484,1031.7,1052.2,1101.9,99.5,25.9,21,284,NE-L
20210925,26,59482.980701567,,,,,50.8,899,9911,C
20210925,27,59482.981367395,1031.7,,1158.1,126.5,11.2,25,200,NE-L
20210925,28,59482.981596278,1031.7,,1322.2,290.5,12.1,48,334,D1-L
20210925,29,59482.983078769,1031.7,1037.2,1107.7,141.1,11.7,26,264,NE-L
20210926,1,59483.867443675,,,,,36.7,67,633,C
20210926,2,59483.867991283,1032.7,1037.3,1042.0,9.3,92.5,22,550,NE-L
20210926,3,59483.868851392,,,,,48.0,64,416,C
20210926,4,59483.869067965,,,,,13.4,216,2261,D2-L
20210926,5,59483.869105407,,,,,57.4,581,6658,C
20210926,6,59483.869790054,,,,,15.6,81,480,C
20210926,7,59483.870193252,1031.7,1313.2,1468.2,670.6,8.1,40,171,D1-W
20210926,8,59483.871835314,1031.7,1048.8,1109.5,121.5,6.6,69,701,NE-L
20210926,9,59483.872841667,1031.7,1188.8,1468.2,565.0,11.4,66,352,D1-M
20210926,10,59483.872855951,,,,,11.3,388,2376,D2-L
20210926,11,59483.873677194,,,,,42.4,280,6155,Dm-L
20210926,12,59483.873699172,1031.7,1052.2,1112.9,121.5,8.7,85,1096,NE-L
20210926,13,59483.874541187,,,,,21.7,54,240,C
20210926,14,59483.874994658,1365.6,1701.9,1468.2,672.6,8.6,204,2277,D1-H
20210926,15,59483.875301721,1031.7,882.1,1080.8,397.5,9.5,27,309,NE-L
20210926,16,59483.875689552,,,,,11.6,53,330,D2-L
20210926,17,59483.876869904,,,,,22.9,35,182,C
20210926,18,59483.877107776,,,,,20.1,34,162,C
20210926,19,59483.877814796,,,,,19.2,93,1305,C
20210926,20,59483.878160871,1031.7,1048.7,1115.0,132.7,7.0,70,829,NE-L
20210926,21,59483.879058972,,,,,13.5,96,1209,D2-L
20210926,22,59483.881041361,,,,,40.1,1084,12912,Dm-M
20210926,23,59483.881361914,,,,,8.7,313,1926,D2-H
20210926,24,59483.881435345,1031.7,,1114.2,82.5,15.9,272,4413,D1-L
20210926,25,59483.881832586,,,,,24.7,34,153,Dm-W
20210926,26,59483.882614823,,,,,46.7,639,5483,C
20210926,27,59483.882985408,,,,,15.9,136,1266,C
20210926,28,59483.883225496,1031.7,1041.2,1166.0,249.7,11.9,22,178,NE-L
20210926,29,59483.883877817,1031.7,1039.9,1106.9,133.9,11.2,27,365,NE-L
20210926,30,59483.886391403,,,,,15.6,225,2249,D2-L
20210926,31,59483.886595487,,,,,21.6,195,1446,D2-W
20210926,32,59483.887603816,,,,,13.8,90,548,Dm-M
20210926,33,59483.888466839,1031.7,1038.2,1096.8,117.2,8.9,24,290,NE-L
20210926,34,59483.890211364,1031.7,1028.3,1102.3,148.1,12.1,106,1738,NE-L
20210926,35,59483.890423486,1031.7,975.2,1109.1,267.8,12.1,21,233,NE-L
20210926,36,59483.893986046,1031.7,934.3,1153.1,437.6,8.1,13,90,NE-L
20210926,37,59483.894459160,,,,,23.1,42,77,C
20210926,38,59483.894979904,,,,,21.2,124,964,D2-W
20210926,39,59483.895567996,,,,,49.9,114,777,C
20210926,40,59483.897400590,,,,,17.6,18,66,D2-W
20210926,41,59483.898418308,,,,,12.4,279,2027,Dm-H
20210926,42,59483.898460161,1031.7,1038.0,1087.9,99.9,8.3,38,482,NE-L
20210926,43,59483.898641950,1031.7,844.5,1119.7,550.5,9.9,42,436,NE-L
20210926,44,59483.898802248,1031.7,1055.5,1195.9,280.8,7.5,17,107,NE-L
20210926,45,59483.898869869,,,,,22.6,33,494,D2-L
20210926,46,59483.899025833,,,,,42.6,50,624,C
20210926,47,59483.899393873,1031.7,,1123.0,91.3,12.1,21,193,D1-W
20210926,48,59483.899524594,1031.7,1111.1,1468.2,1063.0,14.7,18,70,ND
20210926,49,59483.900433903,1031.7,1039.6,1201.7,324.2,7.9,16,98,D2-H
20210926,50,59483.900996836,,,,,8.7,61,287,
20210926,51,59483.901564891,1031.7,1087.7,1410.4,645.3,11.0,26,64,ND
20210926,52,59483.902297238,1031.7,1035.3,1100.9,131.3,13.6,26,250,NE-L
20210926,53,59483.904181097,,,,,22.6,984,12863,D2-L
20210926,54,59483.904327376,1031.7,944.5,1048.1,207.1,14.0,16,298,NE-L
20210926,55,59483.904784682,1031.7,1036.5,1092.7,112.5,21.9,26,357,NE-L
20210926,56,59483.905108431,,,,,17.3,342,3300,D2-L
20210926,57,59483.905206210,,,,,13.5,158,1215,D2-L
20210927,1,59484.815741508,,,,,24.0,24,123,C
20210927,2,59484.815869322,1031.7,1043.8,1064.7,41.7,6.9,17,172,NE-L
