date_ut,mjd_start_topo_inffreq,mjd_end_topo_inffreq,freq_res_khz,tsamp_us,duration_hr,n_bursts,rate_per_hr
20240128,60337.229849817,60337.250683150,122.070,196.608,0.50,8,16.0
20240129,60338.215266484,60338.236099817,122.070,49.152,0.50,11,22.0
20240201,60341.179849817,60341.200683150,122.070,49.152,0.50,9,18.0
20240204,60344.240960928,60344.261794262,122.070,49.152,0.50,2,4.0
20240209,60349.152766484,60349.173599817,122.070,49.152,0.50,6,12.0
20240213,60353.215960928,60353.236794262,122.070,49.152,0.50,14,28.0
20240215,60355.131238706,60355.152072039,122.070,49.152,0.50,21,42.0
20240221,60361.179155373,60361.199988706,122.070,49.152,0.50,24,48.0
20240225,60365.131933150,60365.152766484,122.070,49.152,0.50,11,22.0
20240305,60374.188183150,60374.209016484,61.035,98.304,0.50,225,450.0
20240306,60375.134710928,60375.218044262,122.070,49.152,2.00,918,459.0
20240307,60376.102766484,60376.186099817,122.070,49.152,2.00,969,484.5
20240308,60377.193044262,60377.221447039,122.070,49.152,0.68,347,509.0
20240309,60378.191655373,60378.205660002,122.070,49.152,0.34,186,553.4
20240310,60379.199294262,60379.219120650,122.070,49.152,0.48,270,567.4
20240311,60380.152766484,60380.194433150,122.070,49.152,1.00,727,727.0
20240312,60381.038183150,60381.220822039,122.070,49.152,4.38,3197,729.4
20240313,60382.173599817,60382.215266484,122.070,49.152,1.00,535,535.0
20240315,60384.190960928,60384.204849817,122.070,49.152,0.33,66,198.0
20240317,60386.118738706,60386.139572039,122.070,49.152,0.50,171,342.0
20240321,60390.158322039,60390.172210928,61.035,98.304,0.33,111,333.0
20240327,60396.133322039,60396.154155373,122.070,49.152,0.50,297,594.0
20240329,60398.981933150,60399.002766484,122.070,49.152,0.50,275,550.0
20240401,60401.066655373,60401.087488706,122.070,49.152,0.50,261,522.0
20240403,60403.046516484,60403.067349817,122.070,49.152,0.50,141,282.0
20240407,60407.091655373,60407.112488706,122.070,49.152,0.50,41,82.0
20240410,60410.020822039,60410.041655373,122.070,49.152,0.50,35,70.0
20240413,60413.023599817,60413.044433150,122.070,49.152,0.50,44,88.0
20240417,60417.078460928,60417.099294262,122.070,49.152,0.50,45,90.0
20240421,60421.009016484,60421.029849817,122.070,49.152,0.50,72,144.0
20240424,60424.983322039,60425.004155373,122.070,49.152,0.50,110,220.0
20240430,60430.029155373,60430.049988706,122.070,49.152,0.50,133,266.0
20240504,60434.956933150,60434.977766484,122.070,49.152,0.50,89,178.0
20240511,60441.888877595,60441.909710928,122.070,49.152,0.50,102,204.0
20240518,60448.897210928,60448.911099817,122.070,49.152,0.33,32,96.0
20240525,60455.913877595,60455.927766484,122.070,49.152,0.33,37,111.0
20240531,60461.949294262,60461.963183150,122.070,49.152,0.33,11,33.0
20240608,60469.827766484,60469.841655373,122.070,49.152,0.33,49,147.0
20240615,60476.877072039,60476.890960928,122.070,49.152,0.33,29,87.0
20240622,60483.881933150,60483.895822039,122.070,49.152,0.33,40,120.0
20240629,60490.862488706,60490.876377595,122.070,49.152,0.33,46,138.0
20240706,60497.858322039,60497.872210928,122.070,49.152,0.33,42,126.0
20240713,60504.761099817,60504.774988706,122.070,49.152,0.33,117,351.0
20240720,60511.684710928,60511.698599817,122.070,49.152,0.33,100,300.0
20240722,60513.800683150,60513.815266484,122.070,49.152,0.35,92,262.9
20240724,60515.773599817,60515.834710928,61.035,98.304,1.47,369,251.6
20240726,60517.819433150,60517.840266484,122.070,49.152,0.50,166,332.0
20240727,60518.742349817,60518.756238706,122.070,49.152,0.33,92,276.0
20240728,60519.765266484,60519.786099817,122.070,49.152,0.50,208,416.0
20240730,60521.799988706,60521.820822039,122.070,49.152,0.50,138,276.0
20240802,60524.783322039,60524.797210928,122.070,49.152,0.33,108,324.0
20240805,60527.777766484,60527.791655373,122.070,49.152,0.33,52,156.0
20240808,60530.774988706,60530.788877595,122.070,49.152,0.33,90,270.0
20240814,60536.777766484,60536.791655373,122.070,49.152,0.33,86,258.0
20240817,60539.709710928,60539.723599817,122.070,49.152,0.33,70,210.0
20240821,60543.737488706,60543.751377595,122.070,49.152,0.33,66,198.0
20240829,60551.699294262,60551.713183150,122.070,49.152,0.33,40,120.0
