date_ut,mjd_start_topo_inffreq,mjd_end_topo_inffreq,duration_hr,n_bursts,rate_per_hr
20240128,60337.229861,60337.250694,0.50,8,16.0
20240129,60338.215278,60338.236111,0.50,11,22.0
20240201,60341.179861,60341.200694,0.50,9,18.0
20240204,60344.240972,60344.261806,0.50,2,4.0
20240209,60349.152778,60349.173611,0.50,6,12.0
20240213,60353.215972,60353.236806,0.50,14,28.0
20240215,60355.131250,60355.152083,0.50,21,42.0
20240221,60361.179167,60361.200000,0.50,24,48.0
20240225,60365.131944,60365.152778,0.50,11,22.0
20240305,60374.188194,60374.209028,0.50,225,450.0
20240306,60375.134722,60375.218056,2.00,918,459.0
20240307,60376.102778,60376.186111,2.00,969,484.5
20240308,60377.193056,60377.221458,0.68,347,509.0
20240309,60378.191667,60378.205671,0.34,186,553.4
20240310,60379.199306,60379.219132,0.48,270,567.4
20240311,60380.152778,60380.194444,1.00,727,727.0
20240312,60381.038194,60381.220833,4.38,3197,729.4
20240313,60382.173611,60382.215278,1.00,535,535.0
20240315,60384.190972,60384.204861,0.33,66,198.0
20240317,60386.118750,60386.139583,0.50,171,342.0
20240321,60390.158333,60390.172222,0.33,111,333.0
20240327,60396.133333,60396.154167,0.50,297,594.0
20240329,60398.981944,60399.002778,0.50,275,550.0
20240401,60401.066667,60401.087500,0.50,261,522.0
20240403,60403.046528,60403.067361,0.50,141,282.0
20240407,60407.091667,60407.112500,0.50,41,82.0
20240410,60410.020833,60410.041667,0.50,35,70.0
20240413,60413.023611,60413.044444,0.50,44,88.0
20240417,60417.078472,60417.099306,0.50,45,90.0
20240421,60421.009028,60421.029861,0.50,72,144.0
20240424,60424.983333,60425.004167,0.50,110,220.0
20240430,60430.029167,60430.050000,0.50,133,266.0
20240504,60434.956944,60434.977778,0.50,89,178.0
20240511,60441.888889,60441.909722,0.50,102,204.0
20240518,60448.897222,60448.911111,0.33,32,96.0
20240525,60455.913889,60455.927778,0.33,37,111.0
20240531,60461.949306,60461.963194,0.33,11,33.0
20240608,60469.827778,60469.841667,0.33,49,147.0
20240615,60476.877083,60476.890972,0.33,29,87.0
20240622,60483.881944,60483.895833,0.33,40,120.0
20240629,60490.862500,60490.876389,0.33,46,138.0
20240706,60497.858333,60497.872222,0.33,42,126.0
20240713,60504.761111,60504.775000,0.33,117,351.0
