scan_id,mjd_start_topo,duration_s,mjd_end_topo
nuppi_60054_2309+4842_286776,60054.365220,3314.8,60054.403586
nuppi_60051_2309+4842_286683,60051.373403,3314.9,60051.411770
nuppi_60049_2309+4842_286630,60049.381169,3199.9,60049.418205
nuppi_60047_2309+4842_286571,60047.384201,2950.0,60047.418345
nuppi_60044_2309+4842_286493,60044.394919,2678.8,60044.425924
nuppi_60042_2309+4842_286429,60042.400421,2671.4,60042.431340
nuppi_60040_2309+4842_286371,60040.403345,2950.0,60040.437489
nuppi_60036_2309+4842_286271,60036.416597,2678.8,60036.447602
nuppi_60033_2309+4842_286190,60033.419236,3274.9,60033.457140
nuppi_60030_2309+4842_286114,60030.419595,4284.0,60030.469178
nuppi_60026_2309+4842_285978,60026.441551,3335.9,60026.480161
nuppi_60023_2309+4842_285899,60023.452002,3182.9,60023.488841
nuppi_60021_2309+4842_285836,60021.457616,3199.8,60021.494651
nuppi_60020_2309+4842_285806,60020.447037,2846.8,60020.479986
nuppi_60019_2309+4842_285778,60019.466597,3652.0,60019.508866
nuppi_60016_2309+4842_285678,60016.460521,4138.1,60016.508416
nuppi_60014_2309+4842_285623,60014.470880,3649.0,60014.513114
nuppi_60012_2309+4842_285557,60012.478681,3451.9,60012.518634
nuppi_60011_2309+4842_285528,60011.474340,2559.7,60011.503966
nuppi_60007_2309+4842_285432,60007.494097,2948.7,60007.528225
nuppi_59935_2309+4842_284951,59935.685648,3826.6,59935.729937
nuppi_59931_2309+4842_284902,59931.689606,4340.2,59931.739840
nuppi_59927_2309+4842_284761,59927.697951,4541.1,59927.750510
nuppi_59925_2309+4842_284726,59925.706262,4285.0,59925.755857
nuppi_59923_2309+4842_284672,59923.714398,4139.1,59923.762304
nuppi_59921_2309+4842_284619,59921.727106,3451.9,59921.767059
nuppi_59919_2309+4842_284565,59919.722789,4285.1,59919.772385
nuppi_59917_2309+4842_284521,59917.732766,3980.9,59917.778841
nuppi_59915_2309+4842_284453,59915.739907,3792.0,59915.783796
nuppi_59912_2309+4842_284210,59912.734491,3417.0,59912.774040
nuppi_59911_2309+4842_284180,59911.747083,4103.1,59911.794573
nuppi_59909_2309+4842_284128,59909.754016,3952.2,59909.799759
nuppi_59907_2309+4842_284060,59907.775278,2660.7,59907.806073
nuppi_59906_2309+4842_284027,59906.762836,2425.7,59906.790911
nuppi_59904_2309+4842_283978,59904.769954,2288.6,59904.796442
nuppi_59903_2309+4842_283952,59903.769039,4178.0,59903.817395
nuppi_59901_2309+4842_283885,59901.764525,3417.0,59901.804074
nuppi_59900_2309+4842_283854,59900.774444,4336.1,59900.824630
nuppi_59899_2309+4842_283824,59899.780162,2559.8,59899.809789
nuppi_59898_2309+4842_283799,59898.780648,4272.2,59898.830095
nuppi_59897_2309+4842_283776,59897.782720,2897.0,59897.816250
nuppi_59896_2309+4842_283751,59896.788252,4136.1,59896.836124
nuppi_59894_2309+4842_283691,59894.783646,4915.3,59894.840536
nuppi_59893_2309+4842_283635,59893.796412,2560.8,59893.826051
nuppi_59892_2309+4842_283609,59892.827650,1696.8,59892.847289
nuppi_59892_2309+4842_283608,59892.802720,1748.7,59892.822960
nuppi_59891_2309+4842_283584,59891.800405,2706.8,59891.831734
nuppi_59890_2309+4842_283555,59890.809479,3648.1,59890.851702
nuppi_59889_2309+4842_283532,59889.804595,2848.8,59889.837567
nuppi_59888_2309+4842_283501,59888.813634,3792.0,59888.857523
nuppi_59887_2309+4842_283469,59887.802755,3418.0,59887.842315
nuppi_59885_2309+4842_283439,59885.818391,2559.8,59885.848018
nuppi_59884_2309+4842_283409,59884.847685,1849.9,59884.869096
nuppi_59884_2309+4842_283408,59884.821111,1884.6,59884.842924
nuppi_59883_2309+4842_283379,59883.844225,2390.7,59883.871895
nuppi_59882_2309+4842_283345,59882.826319,2562.8,59882.855981
nuppi_59881_2309+4842_283319,59881.826412,4286.1,59881.876020
nuppi_59879_2309+4842_283270,59879.824606,4915.2,59879.881495
nuppi_59878_2309+4842_283244,59878.837315,2560.8,59878.866954
nuppi_59877_2309+4842_283221,59877.847361,3451.9,59877.887314
nuppi_59876_2309+4842_283201,59876.840220,2172.6,59876.865366
nuppi_59875_2309+4842_283169,59875.850903,3578.9,59875.892325
nuppi_59874_2309+4842_283132,59874.849745,2429.7,59874.877867
nuppi_59873_2309+4842_283103,59873.850961,4138.0,59873.898855
nuppi_59871_2309+4842_283043,59871.861366,3649.0,59871.903600
nuppi_59870_2309+4842_283010,59870.866354,2004.7,59870.889557
nuppi_59869_2309+4842_282997,59869.877662,939.6,59869.888537
nuppi_59867_2309+4842_282916,59867.901782,1298.7,59867.916813
