Obsid,Obs.Y,Obs.M,Obs.D,Obs.h,Obs.m,Obs.s,Duration,Fullpol,number,l_rate,rate,E_rate,e_rate
O01,2024,1,29,6,7,40,7200.5,N,0,<,0.92,,
O02,2024,2,3,1,57,18,1147.8,N,0,<,5.77,,
O03,2024,2,6,7,10,3,7194.1,N,0,<,0.92,,
O04,2024,2,7,6,29,43,7200.5,N,0,<,0.92,,
O05,2024,2,7,23,36,42,10800.8,N,0,<,0.61,,
O06,2024,2,18,3,16,6,10800.8,N,0,<,0.61,,
O07,2024,2,19,23,29,58,3600.3,N,0,<,1.84,,
O08,2024,2,24,3,49,45,3600.3,N,0,<,1.84,,
O09,2024,6,29,20,52,24,3600.3,N,3,,3.00,2.94,1.63
O10,2024,6,30,19,59,51,3600.3,N,1,,1.00,2.32,0.83
O11,2024,7,9,15,45,6,3600.3,N,2,,2.00,2.66,1.29
O12,2024,7,10,14,10,14,25200.7,N,12,,1.71,0.65,0.49
O13,2024,7,12,14,2,17,28799.9,N,8,,1.00,0.49,0.35
O14,2024,7,14,15,32,6,23400.1,N,1,,0.15,0.36,0.13
O15,2024,7,15,13,23,26,9000.1,N,0,<,0.74,,
O16,2024,7,17,14,17,12,7200.5,N,3,,1.50,1.47,0.81
O17,2024,7,18,13,41,39,28799.9,N,18,,2.25,0.67,0.52
O18,2024,7,20,13,44,28,28799.9,N,11,,1.38,0.55,0.41
O19,2024,7,21,13,17,22,28801.0,N,33,,4.12,0.85,0.71
O20,2024,7,23,17,34,42,14400.0,Y,12,,3.00,1.14,0.85
O21,2024,7,25,17,7,26,16199.5,Y,1,,0.22,0.52,0.18
O22,2024,7,31,18,1,50,12600.4,N,7,,2.00,1.08,0.74
O23,2024,8,1,17,16,44,13499.1,N,0,<,0.49,,
O24,2024,8,2,17,3,27,14401.0,N,0,<,0.46,,
O25,2024,8,4,16,32,13,7200.5,N,0,<,0.92,,
O26,2024,8,6,16,59,49,7200.5,N,0,<,0.92,,
O27,2024,8,9,17,33,31,7200.5,N,0,<,0.92,,
O28,2024,8,18,16,27,38,3600.3,N,0,<,1.84,,
O29,2024,8,23,16,59,1,7200.5,N,0,<,0.92,,
O30,2024,8,29,15,53,8,7200.5,N,1,,0.50,1.16,0.41
O31,2024,8,30,16,9,52,7200.5,N,1,,0.50,1.16,0.41
O32,2024,8,31,14,41,2,14400.0,N,2,,0.50,0.66,0.32
O33,2024,9,3,12,38,15,14401.0,N,2,,0.50,0.66,0.32
O34,2024,9,4,14,44,40,12600.4,Y,0,<,0.53,,
O35,2024,9,17,15,41,2,7199.4,N,1,,0.50,1.16,0.41
O36,2024,9,20,15,20,28,7200.5,N,0,<,0.92,,
O37,2024,9,23,15,39,18,7200.5,N,0,<,0.92,,
O38,2024,10,2,15,3,17,5400.9,N,1,,0.67,1.55,0.55
O39,2024,10,8,13,49,18,7200.5,N,1,,0.50,1.16,0.41
O40,2024,10,14,13,19,33,7200.5,N,0,<,0.92,,
O41,2024,10,31,8,7,34,3600.3,N,1,,1.00,2.32,0.83
O42,2024,11,5,11,25,25,7199.4,N,0,<,0.92,,
O43,2024,11,10,8,40,4,10800.8,N,0,<,0.61,,
O44,2024,11,17,9,10,56,7200.5,N,0,<,0.92,,
O45,2024,12,11,11,23,15,7200.5,N,0,<,0.92,,
O46,2024,12,21,8,14,4,7200.5,N,0,<,0.92,,
O47,2024,12,30,8,46,8,7200.5,N,1,,0.50,1.16,0.41
O48,2025,1,7,6,59,5,7200.5,N,2,,1.00,1.33,0.64
O49,2025,1,8,4,13,37,4000.8,N,0,<,1.66,,
O50,2025,1,8,9,28,1,5400.9,N,1,,0.67,1.55,0.55
O51,2025,1,9,1,47,51,14399.9,Y,1,,0.25,0.58,0.21
O52,2025,1,11,7,30,8,9899.9,Y,0,<,0.67,,
O53,2025,1,12,5,26,19,14401.0,N,4,,1.00,0.79,0.48
O54,2025,1,13,8,25,20,7200.5,N,1,,0.50,1.16,0.41
O55,2025,1,14,5,54,8,12600.4,N,1,,0.29,0.66,0.24
O56,2025,1,20,9,4,9,3600.3,N,6,,6.00,3.60,2.37
O57,2025,1,23,7,9,56,5400.9,Y,5,,3.33,2.26,1.44
O58,2025,1,25,8,11,1,6600.3,Y,5,,2.73,1.85,1.18
O59,2025,1,26,7,46,35,9000.1,Y,2,,0.80,1.06,0.52
O60,2025,2,5,4,12,57,10799.7,N,3,,1.00,0.98,0.54
O61,2025,2,6,4,6,40,10800.8,Y,0,<,0.61,,
O62,2025,2,8,15,36,4,7200.5,N,0,<,0.92,,
O63,2025,2,9,5,18,13,10800.8,N,0,<,0.61,,
O64,2025,2,11,1,55,15,7200.5,N,0,<,0.92,,
O65,2025,2,14,6,0,22,9000.1,N,0,<,0.74,,
O66,2025,2,15,5,20,34,7200.5,N,1,,0.50,1.16,0.41
